time,A,C,DA,DR,D_A,D_R,MA,MR,R
0,0,0,1,1,0,0,0,0,0
0.0430435,0,0,1,1,0,0,1,0,0
0.0587016,0,0,1,1,0,0,2,0,0
0.0652645,1,0,1,1,0,0,2,0,0
0.0707577,2,0,1,1,0,0,2,0,0
0.0736179,2,0,1,1,0,0,3,0,0
0.077514,3,0,1,1,0,0,3,0,0
0.0815054,3,0,1,1,0,0,2,0,0
0.0897172,4,0,1,1,0,0,2,0,0
0.0905942,5,0,1,1,0,0,2,0,0
0.096645,6,0,1,1,0,0,2,0,0
0.100248,7,0,1,1,0,0,2,0,0
0.101378,7,0,1,1,0,0,1,0,0
0.120578,6,0,1,0,0,1,1,0,0
0.123771,6,0,1,0,0,1,1,1,0
0.129022,7,0,1,1,0,0,1,1,0
0.14455,8,0,1,1,0,0,1,1,0
0.14496,8,0,1,1,0,0,1,1,1
0.14827,7,0,0,1,1,0,1,1,1
0.149024,7,0,0,1,1,0,2,1,1
0.151536,8,0,0,1,1,0,2,1,1
0.151862,9,0,0,1,1,0,2,1,1
0.152049,10,0,0,1,1,0,2,1,1
0.153921,11,0,1,1,0,0,2,1,1
0.160555,11,0,1,1,0,0,1,1,1
0.161955,12,0,1,1,0,0,1,1,1
0.166423,13,0,1,1,0,0,1,1,1
0.171951,14,0,1,1,0,0,1,1,1
0.176644,14,0,1,1,0,0,2,1,1
0.183135,14,0,1,1,0,0,2,1,2
0.18898,15,0,1,1,0,0,2,1,2
0.191647,14,1,1,1,0,0,2,1,1
0.192276,13,2,1,1,0,0,2,1,0
0.193565,13,2,1,1,0,0,3,1,0
0.193997,14,2,1,1,0,0,3,1,0
0.210059,15,2,1,1,0,0,3,1,0
0.210094,14,2,1,1,0,0,3,1,0
0.210652,15,2,1,1,0,0,3,1,0
0.210855,16,2,1,1,0,0,3,1,0
0.213638,17,2,1,1,0,0,3,1,0
0.223019,18,2,1,1,0,0,3,1,0
0.224608,17,2,1,1,0,0,3,1,0
0.232552,18,2,1,1,0,0,3,1,0
